,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
108,"frozenset({'small_basket', 'yes_buyDrink'})",frozenset({'rain'}),0.35985533453887886,0.8083182640144665,0.29294755877034356,0.8140703517587939,1.007116117500253,0.0020699194595319437,1.030936904354626,2
82,"frozenset({'yes_buyDrink', 'female'})",frozenset({'rain'}),0.3688969258589512,0.8083182640144665,0.30018083182640143,0.8137254901960784,1.0066894766855288,0.00199470911582067,1.0290282668697062,2
241,"frozenset({'clothes_item', '31-50age'})",frozenset({'rain'}),0.30018083182640143,0.8083182640144665,0.244122965641953,0.8132530120481928,1.0061049567397107,0.0014813167696176854,1.026424779793502,2
22,"frozenset({'yes_buyDrink', 'no_spec'})",frozenset({'rain'}),0.47377938517179025,0.8083182640144665,0.38517179023508136,0.8129770992366412,1.00576361493929,0.0022072600871785863,1.0249105066981585,2
468,frozenset({'age>50'}),frozenset({'rain'}),0.2603978300180832,0.8083182640144665,0.2115732368896926,0.8125,1.0051733780760628,0.0010889149763414485,1.0223025919228454,1
576,frozenset({'chinese_race'}),"frozenset({'yes_buyDrink', 'rain'})",0.2820976491862568,0.6600361663652803,0.2007233273056058,0.7115384615384616,1.0780295047418336,0.014528676396051127,1.1785412899336951,1
286,"frozenset({'big_basket', 'no_spec'})","frozenset({'yes_buyDrink', 'rain'})",0.3399638336347197,0.6600361663652803,0.24050632911392406,0.7074468085106383,1.071830370154474,0.016117903658819738,1.1620581949695876,2
604,"frozenset({'big_basket', 'clothes_item', 'yes_buyDrink'})",frozenset({'no_spec'}),0.28390596745027125,0.5533453887884268,0.2007233273056058,0.7070063694267517,1.2776945172973648,0.04362526936748101,1.5244516078308046,3
26,frozenset({'no_spec'}),"frozenset({'yes_buyDrink', 'rain'})",0.5533453887884268,0.6600361663652803,0.38517179023508136,0.696078431372549,1.0546065001343004,0.019943821143262597,1.1185906784110131,1
321,frozenset({'2basket'}),"frozenset({'yes_buyDrink', 'rain'})",0.33634719710669075,0.6600361663652803,0.2332730560578662,0.6935483870967742,1.0507733097657976,0.011271741511858724,1.1093556676501382,1
332,frozenset({'41-55mins_timespent'}),"frozenset({'yes_buyDrink', 'rain'})",0.3345388788426763,0.6600361663652803,0.22965641952983726,0.6864864864864866,1.0400740466493892,0.00884866043837823,1.0843674003866064,1
73,frozenset({'31-50age'}),"frozenset({'yes_buyDrink', 'rain'})",0.49547920433996384,0.6600361663652803,0.3399638336347197,0.6861313868613139,1.0395360463953605,0.012929639088450628,1.083140586231549,1
605,"frozenset({'yes_buyDrink', 'no_spec', 'clothes_item'})",frozenset({'big_basket'}),0.29294755877034356,0.5497287522603979,0.2007233273056058,0.6851851851851852,1.2464059454191034,0.03968163134505526,1.430273375172854,3
397,"frozenset({'big_basket', 'clothes_item'})",frozenset({'no_spec'}),0.325497287522604,0.5533453887884268,0.2224231464737794,0.6833333333333333,1.2349128540305012,0.04231072336000577,1.410488245931284,2
549,"frozenset({'no_spec', 'male'})","frozenset({'yes_buyDrink', 'rain'})",0.2965641952983725,0.6600361663652803,0.20253164556962025,0.6829268292682926,1.0346809221516873,0.006788551023678174,1.0721936291556542,2
305,frozenset({'moderate_bodySize'}),"frozenset({'yes_buyDrink', 'rain'})",0.3471971066907776,0.6600361663652803,0.23688969258589512,0.6822916666666666,1.0337186073059361,0.007727045312597075,1.0700500993092816,1
603,"frozenset({'big_basket', 'no_spec', 'yes_buyDrink'})",frozenset({'clothes_item'}),0.29475587703435807,0.566003616636528,0.2007233273056058,0.6809815950920245,1.203140006664184,0.03389043487928742,1.3604117401585756,3
100,frozenset({'blankets_item'}),"frozenset({'yes_buyDrink', 'rain'})",0.43399638336347196,0.6600361663652803,0.29475587703435807,0.6791666666666667,1.0289840182648402,0.00830256794273554,1.0596275334069187,1
564,"frozenset({'clothes_item', '31-50age'})","frozenset({'yes_buyDrink', 'rain'})",0.30018083182640143,0.6600361663652803,0.20253164556962025,0.674698795180723,1.0222148869450405,0.004401440114581323,1.0450740070993239,2
86,frozenset({'female'}),"frozenset({'yes_buyDrink', 'rain'})",0.4484629294755877,0.6600361663652803,0.30018083182640143,0.6693548387096774,1.0141184268669907,0.004179079098391492,1.028183301724518,1
594,"frozenset({'big_basket', '31-50age'})","frozenset({'yes_buyDrink', 'rain'})",0.30018083182640143,0.6600361663652803,0.2007233273056058,0.6686746987951808,1.0130879683116027,0.0025931218505668707,1.0260726615156999,2
39,frozenset({'big_basket'}),"frozenset({'yes_buyDrink', 'rain'})",0.5497287522603979,0.6600361663652803,0.3670886075949367,0.6677631578947368,1.0117069214131218,0.004247749412214785,1.023257479454998,1
440,"frozenset({'big_basket', 'clothes_item'})","frozenset({'yes_buyDrink', 'rain'})",0.325497287522604,0.6600361663652803,0.21699819168173598,0.6666666666666666,1.0100456621004565,0.002158209863019067,1.019891500904159,2
538,frozenset({'formal_attire'}),"frozenset({'yes_buyDrink', 'rain'})",0.3037974683544304,0.6600361663652803,0.20253164556962025,0.6666666666666666,1.0100456621004565,0.002014329205484472,1.019891500904159,1
502,frozenset({'fat_bodySize'}),"frozenset({'yes_buyDrink', 'rain'})",0.31464737793851716,0.6600361663652803,0.20795660036166366,0.6609195402298851,1.0013383719099356,0.000277951270237331,1.002605204278665,1
284,"frozenset({'big_basket', 'yes_buyDrink', 'rain'})",frozenset({'no_spec'}),0.3670886075949367,0.5533453887884268,0.24050632911392406,0.6551724137931034,1.184020734730674,0.03737954082450157,1.2952983725135623,3
396,"frozenset({'big_basket', 'no_spec'})",frozenset({'clothes_item'}),0.3399638336347197,0.566003616636528,0.2224231464737794,0.6542553191489362,1.1559207395826254,0.030002387110909107,1.2552510780358883,2
398,"frozenset({'no_spec', 'clothes_item'})",frozenset({'big_basket'}),0.3453887884267631,0.5497287522603979,0.2224231464737794,0.643979057591623,1.1714487462110772,0.032552998767204355,1.2647324752685882,2
103,"frozenset({'big_basket', 'yes_buyDrink'})",frozenset({'no_spec'}),0.46112115732368897,0.5533453887884268,0.29475587703435807,0.6392156862745099,1.1551839036268103,0.039596610956512124,1.2380100636842521,2
141,"frozenset({'big_basket', 'rain'})",frozenset({'no_spec'}),0.4394213381555154,0.5533453887884268,0.28028933092224234,0.6378600823045268,1.1527340703085076,0.03713755971864793,1.2333758014137763,2
115,"frozenset({'yes_buyDrink', 'clothes_item'})",frozenset({'no_spec'}),0.46835443037974683,0.5533453887884268,0.29294755877034356,0.6254826254826255,1.1303656597774245,0.03378579440108037,1.1926138588020356,2
285,"frozenset({'yes_buyDrink', 'no_spec', 'rain'})",frozenset({'big_basket'}),0.38517179023508136,0.5497287522603979,0.24050632911392406,0.6244131455399061,1.135856807511737,0.028766321462089073,1.1988471971066907,3
64,frozenset({'no_spec'}),frozenset({'clothes_item'}),0.5533453887884268,0.566003616636528,0.3453887884267631,0.6241830065359477,1.1027897847104764,0.03219329712336788,1.154807767906282,1
340,"frozenset({'yes_buyDrink', 'clothes_item', 'rain'})",frozenset({'no_spec'}),0.36528028933092227,0.5533453887884268,0.22784810126582278,0.6237623762376237,1.1272568433313919,0.025721937549254587,1.187160940325497,3
104,"frozenset({'yes_buyDrink', 'no_spec'})",frozenset({'big_basket'}),0.47377938517179025,0.5497287522603979,0.29475587703435807,0.6221374045801528,1.1317170550421858,0.034305726777171364,1.1916269384623817,2
142,"frozenset({'no_spec', 'rain'})",frozenset({'big_basket'}),0.45207956600361665,0.5497287522603979,0.28028933092224234,0.62,1.127828947368421,0.03176819518065199,1.1849243361568478,2
66,frozenset({'big_basket'}),frozenset({'no_spec'}),0.5497287522603979,0.5533453887884268,0.3399638336347197,0.6184210526315789,1.1176040591675265,0.035773963487013116,1.1705431190372262,1
114,"frozenset({'yes_buyDrink', 'no_spec'})",frozenset({'clothes_item'}),0.47377938517179025,0.566003616636528,0.29294755877034356,0.6183206106870228,1.092432261054069,0.024786713275279648,1.1370705244122965,2
607,"frozenset({'big_basket', 'clothes_item'})","frozenset({'yes_buyDrink', 'no_spec'})",0.325497287522604,0.47377938517179025,0.2007233273056058,0.6166666666666667,1.3015903307888042,0.046509422548061036,1.3727494299866343,2
127,"frozenset({'big_basket', 'yes_buyDrink'})",frozenset({'clothes_item'}),0.46112115732368897,0.566003616636528,0.28390596745027125,0.615686274509804,1.0877779865939987,0.022909724697441902,1.1292763036498508,2
67,frozenset({'no_spec'}),frozenset({'big_basket'}),0.5533453887884268,0.5497287522603979,0.3399638336347197,0.6143790849673203,1.1176040591675267,0.035773963487013116,1.1676525576976124,1
166,"frozenset({'clothes_item', 'rain'})",frozenset({'no_spec'}),0.4448462929475588,0.5533453887884268,0.2730560578661845,0.6138211382113822,1.1092911419310272,0.026902412944027176,1.156600361663653,2
584,"frozenset({'casual_attire', 'rain'})",frozenset({'big_basket'}),0.32730560578661844,0.5497287522603979,0.2007233273056058,0.6132596685082874,1.1155677522535623,0.020794025028694374,1.1642727977266858,2
361,"frozenset({'yes_buyDrink', 'female'})",frozenset({'no_spec'}),0.3688969258589512,0.5533453887884268,0.22603978300180833,0.6127450980392157,1.1073465333845958,0.02191237013953154,1.153386590976721,2
201,"frozenset({'yes_buyDrink', '31-50age'})",frozenset({'clothes_item'}),0.4104882459312839,0.566003616636528,0.2513562386980108,0.6123348017621145,1.0818566944870587,0.0190184069141196,1.1195133979944107,2
210,"frozenset({'yes_buyDrink', '31-50age'})",frozenset({'big_basket'}),0.4104882459312839,0.5497287522603979,0.2513562386980108,0.6123348017621145,1.113885346626478,0.025699047444646794,1.161495150419201,2
369,"frozenset({'yes_buyDrink', 'casual_attire'})",frozenset({'clothes_item'}),0.3670886075949367,0.566003616636528,0.22423146473779385,0.6108374384236452,1.079211193125482,0.016457985212992438,1.1152058964909468,2
65,frozenset({'clothes_item'}),frozenset({'no_spec'}),0.566003616636528,0.5533453887884268,0.3453887884267631,0.610223642172524,1.1027897847104764,0.03219329712336788,1.1459253549936266,1
179,frozenset({'casual_attire'}),frozenset({'clothes_item'}),0.4267631103074141,0.566003616636528,0.2603978300180832,0.6101694915254238,1.0780310824714356,0.01884836613703328,1.1132950703671673,1
386,"frozenset({'yes_buyDrink', 'female'})",frozenset({'clothes_item'}),0.3688969258589512,0.566003616636528,0.22423146473779385,0.6078431372549019,1.0739209421787885,0.015434470535530348,1.1066907775768535,2
128,"frozenset({'yes_buyDrink', 'clothes_item'})",frozenset({'big_basket'}),0.46835443037974683,0.5497287522603979,0.28390596745027125,0.6061776061776062,1.102684921763869,0.026438070821983628,1.1433358153387938,2
404,"frozenset({'yes_buyDrink', 'casual_attire'})",frozenset({'big_basket'}),0.3670886075949367,0.5497287522603979,0.2224231464737794,0.6059113300492611,1.10220054446461,0.020623984251608024,1.1425632911392405,2
89,frozenset({'31-50age'}),frozenset({'clothes_item'}),0.49547920433996384,0.566003616636528,0.30018083182640143,0.6058394160583941,1.070380821342786,0.019737810201792605,1.101064898533253,1
91,frozenset({'31-50age'}),frozenset({'big_basket'}),0.49547920433996384,0.5497287522603979,0.30018083182640143,0.6058394160583941,1.1020697272378024,0.027801667053618417,1.1423548322282497,1
165,"frozenset({'no_spec', 'rain'})",frozenset({'clothes_item'}),0.45207956600361665,0.566003616636528,0.2730560578661845,0.6040000000000001,1.0671309904153357,0.01717738850066547,1.095950463039071,2
415,"frozenset({'yes_buyDrink', 'casual_attire'})",frozenset({'no_spec'}),0.3670886075949367,0.5533453887884268,0.2206148282097649,0.6009852216748768,1.0860942077980615,0.017488039920342424,1.1193936552586339,2
